,traffic,hour,is_weekday,delay_impact_index,flights_before_take_off,traffic_lag_5,flight_numbers,traffic_lag_1,traffic_lag_2,traffic_lag_4,traffic_same_period_last_year,traffic_change_from_last_year,traffic_ratio_from_last_year,traffic_lag_3
67,0.0,9.0,1.0,0.88,299.0,9.0,10376.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
68,0.0,10.0,1.0,0.64,314.0,9.0,7560.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,0.0,10.0,1.0,0.87,336.0,8.0,9358.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.6931
70,0.0,11.0,1.0,0.6,344.0,14.0,7899.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.6931
71,0.0,11.0,1.0,1.03,372.0,9.0,13215.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
72,4.0,12.0,1.0,0.86,346.0,10.0,11320.0,0.0,0.0,0.0,1.3863,0.2231,1.1609,0.0
73,0.0,12.0,1.0,0.95,340.0,8.0,11929.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.6931
74,1.0,13.0,1.0,0.88,325.0,11.0,10476.0,1.6094,0.0,0.0,1.0986,-0.4055,0.6309,0.0
75,0.0,13.0,1.0,0.77,326.0,11.0,10093.0,0.0,1.6094,0.0,1.0986,-1.0986,0.0,0.0
76,2.0,14.0,1.0,0.8,346.0,8.0,10049.0,0.6931,0.0,0.0,1.0986,0.0,1.0,0.0
77,0.0,14.0,1.0,0.8,352.0,13.0,10283.0,0.0,0.6931,0.0,1.7918,-1.7918,0.0,0.0
78,0.0,15.0,1.0,0.89,363.0,5.0,11374.0,1.0986,0.0,0.0,0.0,0.0,1.0,0.0
79,0.0,15.0,1.0,0.97,372.0,11.0,11955.0,0.0,1.0986,0.0,1.6094,-1.6094,0.0,0.0
80,0.0,16.0,1.0,0.86,377.0,14.0,10743.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
81,0.0,16.0,1.0,0.91,368.0,15.0,10333.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
82,0.0,17.0,1.0,0.98,344.0,16.0,11111.0,0.0,0.0,0.0,1.7918,-1.7918,0.0,0.0
83,5.0,17.0,1.0,1.02,329.0,6.0,10661.0,0.0,0.0,0.0,0.0,1.7918,1.0,0.0
84,1.0,18.0,1.0,0.77,306.0,17.0,9705.0,0.0,0.0,0.0,1.7918,-1.0987,0.3868,0.0
85,0.0,18.0,1.0,0.67,317.0,9.0,8108.0,1.7918,0.0,0.0,1.3863,-1.3863,0.0,0.0
86,0.0,19.0,1.0,0.83,329.0,9.0,10646.0,0.6931,1.7918,0.0,0.6931,-0.6931,0.0,0.0
87,1.0,19.0,1.0,0.79,318.0,10.0,9488.0,0.0,0.6931,0.0,1.6094,-0.9163,0.4307,1.0986
88,0.0,20.0,1.0,0.88,297.0,10.0,10873.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,2.0,20.0,1.0,0.79,259.0,15.0,9927.0,0.6931,0.0,0.0,2.0794,-0.9808,0.5283,0.0
90,1.0,21.0,1.0,0.72,205.0,9.0,9623.0,0.0,0.6931,0.0,1.6094,-0.9163,0.4307,0.0
91,0.0,21.0,1.0,0.58,153.0,5.0,6818.0,1.0986,0.0,0.0,1.6094,-1.6094,0.0,0.0
92,2.0,22.0,1.0,0.5,108.0,11.0,5913.0,0.6931,1.0986,0.0,1.7918,-0.6932,0.6131,0.0
93,1.0,22.0,1.0,0.25,65.0,2.0,2697.0,0.0,0.6931,0.0,2.1972,-1.5041,0.3154,0.0
94,0.0,23.0,1.0,0.2,47.0,2.0,2391.0,1.0986,0.0,0.0,1.6094,-1.6094,0.0,0.0
95,1.0,23.0,1.0,0.13,29.0,3.0,1481.0,0.6931,1.0986,0.0,0.6931,0.0,1.0,0.0
96,0.0,0.0,1.0,0.07,19.0,0.0,196.0,0.0,0.6931,0.0,0.0,0.0,1.0,1.6094
97,1.0,0.0,1.0,0.07,12.0,0.0,1318.0,0.6931,0.0,0.0,0.6931,0.0,1.0,0.0
98,0.0,1.0,1.0,0.02,5.0,0.0,106.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.6931
99,0.0,1.0,1.0,0.03,12.0,0.0,551.0,0.6931,0.0,0.0,1.6094,-1.6094,0.0,0.0
100,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.6931,0.0,1.0986,-1.0986,0.0,1.0986
101,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,0.0,3.0,1.0,0.09,11.0,0.0,323.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
103,0.0,3.0,1.0,0.01,2.0,1.0,8.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
104,0.0,4.0,1.0,0.01,1.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.3863,-1.3863,0.0,0.0
107,0.0,5.0,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,1.7918
108,0.0,6.0,1.0,0.01,171.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931
109,0.0,6.0,1.0,0.15,361.0,0.0,1214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,0.0,7.0,1.0,0.66,455.0,8.0,7290.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,1.0,7.0,1.0,0.89,487.0,4.0,10032.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.6931
112,0.0,8.0,1.0,1.91,473.0,10.0,22361.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,1.0,8.0,1.0,1.09,351.0,9.0,14230.0,0.6931,0.0,0.0,1.6094,-0.9163,0.4307,1.0986
114,2.0,9.0,1.0,0.98,335.0,9.0,13301.0,0.0,0.6931,0.0,1.7918,-0.6932,0.6131,0.6931
115,0.0,9.0,1.0,0.75,305.0,6.0,9666.0,0.6931,0.0,0.0,1.0986,-1.0986,0.0,0.0
116,0.0,10.0,1.0,0.69,327.0,4.0,9056.0,1.0986,0.6931,0.0,1.9459,-1.9459,0.0,1.0986
117,0.0,10.0,1.0,0.93,358.0,6.0,11085.0,0.0,1.0986,0.0,1.9459,-1.9459,0.0,0.6931
118,0.0,11.0,1.0,0.68,363.0,14.0,8921.0,0.0,0.0,0.0,1.7918,-1.7918,0.0,0.0
119,0.0,11.0,1.0,0.97,377.0,11.0,14070.0,0.0,0.0,0.0,2.1972,-2.1972,0.0,0.6931
120,4.0,12.0,1.0,1.0,367.0,4.0,12803.0,0.0,0.0,0.0,2.0794,-0.47,0.774,0.0
121,1.0,12.0,1.0,0.98,348.0,5.0,12632.0,0.0,0.0,0.0,1.9459,-1.2528,0.3562,0.6931
122,3.0,13.0,1.0,0.82,329.0,9.0,10479.0,1.6094,0.0,0.0,0.6931,0.6932,2.0001,0.0
123,1.0,13.0,1.0,0.87,337.0,5.0,11689.0,0.6931,1.6094,0.0,1.6094,-0.9163,0.4307,0.0
124,0.0,14.0,1.0,0.81,347.0,6.0,10645.0,1.3863,0.6931,0.0,1.0986,-1.0986,0.0,0.0
125,1.0,14.0,1.0,0.79,357.0,7.0,10597.0,0.6931,1.3863,0.0,1.6094,-0.9163,0.4307,0.0
126,0.0,15.0,1.0,0.9,385.0,14.0,11510.0,0.0,0.6931,0.0,1.3863,-1.3863,0.0,0.0
127,0.0,15.0,1.0,0.97,394.0,7.0,12170.0,0.6931,0.0,0.0,2.3026,-2.3026,0.0,0.0
128,0.0,16.0,1.0,0.91,399.0,9.0,11543.0,0.0,0.6931,0.0,1.9459,-1.9459,0.0,0.0
129,0.0,16.0,1.0,1.07,395.0,10.0,12697.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.0
130,3.0,17.0,1.0,0.99,350.0,6.0,11527.0,0.0,0.0,0.0,1.0986,0.2877,1.2619,0.0
131,2.0,17.0,1.0,1.02,331.0,2.0,11509.0,0.0,0.0,0.0,1.6094,-0.5108,0.6826,0.0
132,1.0,18.0,1.0,0.87,305.0,9.0,10152.0,1.3863,0.0,0.0,1.0986,-0.4055,0.6309,0.0
133,2.0,18.0,1.0,0.62,318.0,5.0,8396.0,1.0986,1.3863,0.0,1.6094,-0.5108,0.6826,0.0
134,2.0,19.0,1.0,0.8,336.0,14.0,10608.0,0.6931,1.0986,0.0,1.6094,-0.5108,0.6826,0.0
135,0.0,19.0,1.0,0.76,335.0,11.0,9616.0,1.0986,0.6931,0.0,1.7918,-1.7918,0.0,0.6931
136,1.0,20.0,1.0,1.0,310.0,9.0,13075.0,1.0986,1.0986,0.0,1.6094,-0.9163,0.4307,0.0
137,2.0,20.0,1.0,0.8,268.0,7.0,10484.0,0.0,1.0986,0.0,1.6094,-0.5108,0.6826,0.6931
138,1.0,21.0,1.0,0.79,212.0,17.0,10748.0,0.6931,0.0,0.0,1.0986,-0.4055,0.6309,1.0986
139,1.0,21.0,1.0,0.51,158.0,7.0,6504.0,1.0986,0.6931,0.0,1.6094,-0.9163,0.4307,0.0
140,0.0,22.0,1.0,0.58,119.0,7.0,7371.0,0.6931,1.0986,0.0,0.6931,-0.6931,0.0,0.0
141,0.0,22.0,1.0,0.24,68.0,7.0,2457.0,0.6931,0.6931,0.0,1.0986,-1.0986,0.0,0.0
142,0.0,23.0,1.0,0.25,50.0,7.0,3227.0,0.0,0.6931,0.0,0.6931,-0.6931,0.0,0.0
143,0.0,23.0,1.0,0.12,26.0,2.0,1866.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.0
144,0.0,0.0,1.0,0.07,16.0,1.0,299.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,1.6094
145,0.0,0.0,1.0,0.06,10.0,0.0,1453.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.6931
146,0.0,1.0,1.0,0.01,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3863
147,0.0,1.0,1.0,0.02,13.0,0.0,247.0,0.0,0.0,0.0,1.3863,-1.3863,0.0,0.6931
148,0.0,2.0,1.0,0.01,12.0,1.0,123.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
149,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.6931
150,0.0,3.0,1.0,0.1,12.0,0.0,351.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.0
151,0.0,3.0,1.0,0.01,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152,0.0,4.0,1.0,0.01,1.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154,0.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3863
155,0.0,5.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0986
156,0.0,6.0,1.0,0.02,165.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931
157,0.0,6.0,1.0,0.12,339.0,2.0,1534.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0986
158,0.0,7.0,1.0,0.72,431.0,8.0,7808.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,1.0986
159,1.0,7.0,1.0,0.79,462.0,10.0,9573.0,0.0,0.0,0.0,0.0,0.6931,1.0,0.0
160,0.0,8.0,1.0,1.76,468.0,19.0,19764.0,0.0,0.0,0.0,1.0986,-1.0986,0.0,0.6931
161,2.0,8.0,1.0,1.04,361.0,20.0,12699.0,0.6931,0.0,0.0,1.0986,0.0,1.0,1.0986
162,1.0,9.0,1.0,1.03,344.0,8.0,13894.0,0.0,0.6931,0.0,1.3863,-0.6932,0.5,0.6931
163,0.0,9.0,1.0,0.85,309.0,12.0,10329.0,1.0986,0.0,0.0,2.0794,-2.0794,0.0,0.6931
164,0.0,10.0,1.0,0.69,324.0,9.0,9072.0,0.6931,1.0986,0.0,1.6094,-1.6094,0.0,0.0
165,2.0,10.0,1.0,0.87,336.0,8.0,10300.0,0.0,0.6931,0.0,1.6094,-0.5108,0.6826,0.0
166,0.0,11.0,1.0,0.68,341.0,12.0,8445.0,0.0,0.0,0.0,1.7918,-1.7918,0.0,0.0
167,1.0,11.0,1.0,1.0,361.0,15.0,12775.0,1.0986,0.0,0.0,1.0986,-0.4055,0.6309,0.0
168,5.0,12.0,1.0,0.81,346.0,14.0,11070.0,0.0,1.0986,0.6931,1.3863,0.4055,1.2925,0.0
169,0.0,12.0,1.0,0.92,341.0,12.0,12650.0,0.6931,0.0,0.0,1.3863,-1.3863,0.0,0.0
170,2.0,13.0,1.0,0.88,331.0,10.0,11147.0,1.7918,0.6931,0.0,1.9459,-0.8473,0.5646,0.0
171,0.0,13.0,1.0,0.85,331.0,9.0,11369.0,0.0,1.7918,0.0,1.3863,-1.3863,0.0,0.0
172,0.0,14.0,1.0,0.76,342.0,6.0,9949.0,1.0986,0.0,0.6931,1.3863,-1.3863,0.0,0.0
173,0.0,14.0,1.0,0.82,350.0,15.0,10113.0,0.0,1.0986,0.0,0.6931,-0.6931,0.0,0.0
174,1.0,15.0,1.0,0.88,359.0,8.0,12159.0,0.0,0.0,0.0,1.3863,-0.6932,0.5,0.0
175,0.0,15.0,1.0,0.96,369.0,11.0,11228.0,0.0,0.0,0.6931,1.0986,-1.0986,0.0,0.0
176,3.0,16.0,1.0,0.84,373.0,16.0,11504.0,0.6931,0.0,0.0,1.7918,-0.4055,0.7737,0.0
177,0.0,16.0,1.0,0.91,370.0,14.0,11148.0,0.0,0.6931,0.0,1.0986,-1.0986,0.0,0.0
178,2.0,17.0,1.0,0.98,347.0,13.0,11447.0,1.3863,0.0,0.0,1.0986,0.0,1.0,0.0
179,0.0,17.0,1.0,1.0,337.0,8.0,11192.0,0.0,1.3863,0.0,1.7918,-1.7918,0.0,0.0
180,1.0,18.0,1.0,0.81,314.0,13.0,10044.0,1.0986,0.0,0.6931,0.6931,0.0,1.0,0.0
181,1.0,18.0,1.0,0.68,321.0,10.0,9067.0,0.0,1.0986,0.0,1.7918,-1.0987,0.3868,0.0
182,1.0,19.0,1.0,0.88,324.0,15.0,13024.0,0.6931,0.0,0.0,2.3026,-1.6095,0.301,0.0
183,2.0,19.0,1.0,0.77,314.0,9.0,10503.0,0.6931,0.6931,0.0,1.3863,-0.2877,0.7925,0.6931
184,2.0,20.0,1.0,0.88,288.0,9.0,11160.0,0.6931,0.6931,0.0,1.6094,-0.5108,0.6826,0.0
185,1.0,20.0,1.0,0.71,246.0,12.0,9924.0,1.0986,0.6931,0.0,0.6931,0.0,1.0,1.0986
186,0.0,21.0,1.0,0.78,203.0,10.0,11207.0,1.0986,1.0986,0.6931,0.6931,-0.6931,0.0,0.6931
187,0.0,21.0,1.0,0.51,143.0,7.0,6854.0,0.6931,1.0986,0.0,0.0,0.0,1.0,0.0
188,0.0,22.0,1.0,0.46,109.0,10.0,5912.0,0.0,0.6931,0.0,2.3026,-2.3026,0.0,0.0
189,0.0,22.0,1.0,0.28,70.0,5.0,3616.0,0.0,0.0,0.0,1.3863,-1.3863,0.0,1.0986
190,2.0,23.0,1.0,0.18,49.0,3.0,2531.0,0.0,0.0,1.0986,1.0986,0.0,1.0,0.0
191,0.0,23.0,1.0,0.17,33.0,3.0,2397.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931
192,1.0,0.0,1.0,0.07,20.0,0.0,186.0,1.0986,0.0,1.0986,0.0,0.6931,1.0,1.7918
193,0.0,0.0,1.0,0.07,15.0,0.0,1696.0,0.0,1.0986,0.0,0.0,0.0,1.0,0.0
194,0.0,1.0,1.0,0.02,8.0,1.0,181.0,0.6931,0.0,0.0,0.6931,-0.6931,0.0,1.0986
195,0.0,1.0,1.0,0.04,15.0,0.0,576.0,0.0,0.6931,0.0,0.0,0.0,1.0,0.0
196,0.0,2.0,1.0,0.02,12.0,0.0,142.0,0.0,0.0,1.3863,0.6931,-0.6931,0.0,0.0
197,2.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6931,0.4055,1.5851,0.0
198,0.0,3.0,1.0,0.09,11.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931
199,0.0,3.0,1.0,0.01,2.0,0.0,10.0,1.0986,0.0,0.0,0.0,0.0,1.0,0.0
200,0.0,4.0,1.0,0.01,1.0,0.0,149.0,0.0,1.0986,0.0,0.0,0.0,1.0,1.3863
201,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0986,0.0,0.0,1.0,0.0
202,1.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931,1.0,1.0986
203,0.0,5.0,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,0.0
204,0.0,6.0,1.0,0.01,173.0,0.0,183.0,0.6931,0.0,0.0,1.6094,-1.6094,0.0,0.6931
205,0.0,6.0,1.0,0.13,359.0,1.0,1389.0,0.0,0.6931,0.6931,0.0,0.0,1.0,0.6931
206,0.0,7.0,1.0,0.67,447.0,4.0,7850.0,0.0,0.0,0.6931,0.0,0.0,1.0,0.6931
207,1.0,7.0,1.0,0.92,477.0,13.0,10687.0,0.0,0.0,0.6931,1.3863,-0.6932,0.5,1.0986
208,0.0,8.0,1.0,1.87,456.0,27.0,22534.0,0.0,0.0,0.0,0.6931,-0.6931,0.0,1.0986
209,1.0,8.0,1.0,1.01,337.0,18.0,12550.0,0.6931,0.0,0.6931,2.0794,-1.3863,0.3333,0.6931
210,0.0,9.0,1.0,0.97,332.0,26.0,13189.0,0.0,0.6931,0.0,2.0794,-2.0794,0.0,0.0
211,1.0,9.0,1.0,0.71,311.0,12.0,9433.0,0.6931,0.0,0.0,1.3863,-0.6932,0.5,0.0
212,1.0,10.0,1.0,0.68,346.0,17.0,8917.0,0.0,0.6931,0.0,0.6931,0.0,1.0,0.0
213,0.0,10.0,1.0,0.96,376.0,18.0,11448.0,0.6931,0.0,0.6931,1.0986,-1.0986,0.0,0.0
214,0.0,11.0,1.0,0.76,365.0,13.0,10041.0,0.6931,0.6931,0.6931,1.0986,-1.0986,0.0,1.0986
215,1.0,11.0,1.0,1.06,375.0,19.0,13834.0,0.0,0.6931,0.0,1.6094,-0.9163,0.4307,0.0
216,3.0,12.0,1.0,0.98,354.0,13.0,13595.0,0.0,0.0,0.0,2.1972,-0.8109,0.6309,0.6931
217,0.0,12.0,1.0,0.85,333.0,24.0,11773.0,0.6931,0.0,0.6931,1.3863,-1.3863,0.0,0.0
218,1.0,13.0,1.0,0.86,326.0,20.0,11078.0,1.3863,0.6931,0.0,1.6094,-0.9163,0.4307,0.0
219,0.0,13.0,1.0,0.85,323.0,9.0,11935.0,0.0,1.3863,0.0,1.3863,-1.3863,0.0,0.0
220,0.0,14.0,1.0,0.77,335.0,17.0,10397.0,0.6931,0.0,0.0,1.3863,-1.3863,0.0,0.0
